text,label,stars
"Футболка классная, минус звезда -нитки с левой стороны торчат ,думаю пару стирок и по швам пойдёт , рисунок не такой яркий как на макете",1,4
"Хорошая , хорошо сделанная , крепкая",0,3
"Стразы по размеру не соответствуют, маленькие. Доставка с задержкой.",0,3
"Думала 2022 года, оказалось расфасован в этом году, а собран в 2021.Разочаровалась",0,2
Очень хорошие продавца советую,1,5
Доехали быстро. Карандаши отличные,1,5
"Хорошая футболочка. Любимая фирма! Почти вся одежда ребёнка этой фирмы.
Только с этой футболкой не понятно, какой состав?! На ярлычке на вороте написано: хлопок 95%, лайкра 5%. А на ярлычке сбоку: хлопок 100%. Где правда??",1,4
Не хватает резини и шорики все как там не приедит смотрите внемателна,0,1
"Отличная поилка, спасибо! В первый день мы даже думали, что кошка лопнет 🤪 Товар новый, собирали по инструкции. Только вопрос, как частно нужно менять фильтр ?",1,5
"Не рекомендую к покупке. Не для депиляции, так как рвутся и расслаиваются!",0,1
"Оказалась маленькой,думала будешь больше. Внутри было несколько косяков",0,3
"У меня небольшая, худая рука. Перчатки осень маленькие, в них туго и они вот вот порвутся. Они скорее детские",0,2
"Запах очень хороший понравился, пришло хорошо запакованный, рекомендую",1,5
Дефлекторы хорошие. Мужу понравились.,1,5
"Лëн чистый. Произведён в сентябре срок годности 24 месяца. Всё отлично, спасибо! Будем ещё брать.",1,5
"Очень тоненькая, не для игрушек , отказ",0,1
Соответствует цена качеству,1,5
"Масло понравилось. Состав хороший, запах приятный! Мужчине понравилось.",1,5
Шторка совсем не той расцветки,0,1
Запах странный. После использования появилась аллергия.,0,1
"Отказ , прошу вернуть мне удержанные деньги , думаю слова тут ни к чему , смотрите фото, сами кроссовки красивые , но то из чего и как они сделаны , оставляет желать лучшего ..",0,1
"Во первых пришел не тот размер заказывала 122-128,пришел 116,оказался нам мал,во вторых запах невыносимый,незнаю проветрится ли.Прошу вернуть сумму за отказ,тк неверно вложили размер",0,3
Шикарное зеркало,1,5
Отличный. Согревает.,1,5
Фасон не мой и большое отказ,0,3
"Замечательный чехол! Толстый, надежный, натуральная кожа, очень качественная отделка, добротный. Брали именно под такие шампуры со зверями, и именно эта модель открытая очень подошла. Спасибо большое производителю и продавцу за радость от этой покупки! Здоровья вам и радости от труда)))",1,5
Все отлично,1,5
"Мёд хороший, вкусный, правда не как башкирский, но пойдёт для разнообразия))) тем более по такой цене!",1,4
"Это первые журналы этой серии , мне и дочке понравились , есть картинки , текст крупный ,понятный интересный , для общего развития очень пригодится ! Брала за 319 . Конечно цена не дешёвая , но если акция есть мне кажется взять можно и потихоньку собирать журналы этой серии ! Их много и темы очень интересные !",1,5
"Ставлю единицу только потому что очень ждала этот товар, ждала месяц, именно этого цвета, а пришел вообще не того цвета от слова совсем.. светло голубого цвета пришел.. не стала возврат делать чтобы ждать опять месяц... Просто расстроена..",0,1
"Топ не понравился как сидит , не спортивный , эска на мой 3 размер велика , под грудью нет поддержки",0,2
"Печеньки очень вкусные. Единственное - немного горчат, видимо, из-за содержания кэроба (но это лично моё восприятие этого продукта). Упаковка супер! Правда, когда увидела пачку в пвз, думала, что там все в смятку, но нет - все целое :)",1,5
"Крем понравился,буквально на третье сутки боли почти не чувствую,буду брать ещё 🔥🔥🔥",1,5
"Масло термоядерное. Один раз на пруду с ним позагорала. Так что, в первый сеанс загара, от него лучше воздержаться.",1,5
"Взяла на подарок, все отлично, качество хорошее",1,5
Зеркало шикарное!!!,1,5
"Очень понравился, в сумку положить удобно",1,5
"Вместо минеральной воды Лысогорская которую я заказала, приехала совершенно другая, какая то новотерская",0,1
Хорошие наклеечки 🌸🌸🌸,1,5
"Отличные таблетки) окрасили налёт, там где действительно не дочищаю) хватило пол таблетки, экономично!",1,5
